constraint_catalog                      constraint_schema                       constraint_name                         table_catalog                           table_schema                            table_name                              column_name                             ordinal_position                        KeyType                                 index_name                              
TestSite                                dbo                                     PK_PE_Message_MessageID                 TestSite                                dbo                                     PE_Message                              MessageID                               1                                       56                                      PK_PE_Message_MessageID                 
TestSite                                dbo                                     PK_PE_ContentModel_ModelID              TestSite                                dbo                                     PE_Model                                ModelID                                 1                                       56                                      PK_PE_ContentModel_ModelID              
TestSite                                dbo                                     PK_PE_ModelTemplates_TemplateID         TestSite                                dbo                                     PE_ModelTemplates                       TemplateID                              1                                       56                                      PK_PE_ModelTemplates_TemplateID         
TestSite                                dbo                                     IX_PE_Mood_MoodID                       TestSite                                dbo                                     PE_Mood                                 MoodID                                  1                                       56                                      IX_PE_Mood_MoodID                       
TestSite                                dbo                                     PK_Mood_GeneralID                       TestSite                                dbo                                     PE_Mood                                 GeneralID                               1                                       56                                      PK_Mood_GeneralID                       
TestSite                                dbo                                     PK_MoodScheme_MoodID                    TestSite                                dbo                                     PE_MoodScheme                           MoodID                                  1                                       56                                      PK_MoodScheme_MoodID                    
TestSite                                dbo                                     IX_PE_Nodes                             TestSite                                dbo                                     PE_Nodes                                NodeID                                  1                                       56                                      IX_PE_Nodes                             
TestSite                                dbo                                     IX_PE_Nodes_OrderID                     TestSite                                dbo                                     PE_Nodes                                OrderID                                 1                                       56                                      IX_PE_Nodes_OrderID                     
TestSite                                dbo                                     IX_PE_Nodes_ParentId                    TestSite                                dbo                                     PE_Nodes                                ParentID                                1                                       56                                      IX_PE_Nodes_ParentId                    
TestSite                                dbo                                     IX_PE_Nodes_RootID                      TestSite                                dbo                                     PE_Nodes                                RootID                                  1                                       56                                      IX_PE_Nodes_RootID                      
TestSite                                dbo                                     PK_PE_Nodes_NodeID                      TestSite                                dbo                                     PE_Nodes                                NodeID                                  1                                       56                                      PK_PE_Nodes_NodeID                      
TestSite                                dbo                                     PK_PE_Nodes_Model_Template              TestSite                                dbo                                     PE_Nodes_Model_Template                 ModelID                                 2                                       56                                      PK_PE_Nodes_Model_Template              
TestSite                                dbo                                     PK_PE_Nodes_Model_Template              TestSite                                dbo                                     PE_Nodes_Model_Template                 NodeID                                  1                                       56                                      PK_PE_Nodes_Model_Template              
TestSite                                dbo                                     PK_PE_Nodes_Template                    TestSite                                dbo                                     PE_Nodes_Template                       NodeID                                  1                                       56                                      PK_PE_Nodes_Template                    
TestSite                                dbo                                     PK_PE_Nodes_Template                    TestSite                                dbo                                     PE_Nodes_Template                       TemplateID                              2                                       56                                      PK_PE_Nodes_Template                    
TestSite                                dbo                                     PK_PE_OrderFeedback                     TestSite                                dbo                                     PE_OrderFeedback                        ID                                      1                                       56                                      PK_PE_OrderFeedback                     
TestSite                                dbo                                     PK_PE_OrderHistory                      TestSite                                dbo                                     PE_OrderHistory                         OrderHistoryID                          1                                       56                                      PK_PE_OrderHistory                      
TestSite                                dbo                                     PK_PE_OrderHistoryItem                  TestSite                                dbo                                     PE_OrderHistoryItem                     ItemID                                  1                                       56                                      PK_PE_OrderHistoryItem                  
TestSite                                dbo                                     IX_PE_OrderItem_OrderID                 TestSite                                dbo                                     PE_OrderItem                            OrderID                                 1                                       56                                      IX_PE_OrderItem_OrderID                 
TestSite                                dbo                                     IX_PE_OrderItem_ProductID               TestSite                                dbo                                     PE_OrderItem                            ProductID                               1                                       56                                      IX_PE_OrderItem_ProductID               
TestSite                                dbo                                     PK_PE_OrderItem_ItemID                  TestSite                                dbo                                     PE_OrderItem                            ItemID                                  1                                       56                                      PK_PE_OrderItem_ItemID                  
TestSite                                dbo                                     IX_PE_Orders_AgentName                  TestSite                                dbo                                     PE_Orders                               AgentName                               1                                       231                                     IX_PE_Orders_AgentName                  
TestSite                                dbo                                     IX_PE_Orders_ClientID                   TestSite                                dbo                                     PE_Orders                               ClientID                                1                                       56                                      IX_PE_Orders_ClientID                   
TestSite                                dbo                                     IX_PE_Orders_OrderNum                   TestSite                                dbo                                     PE_Orders                               OrderNum                                1                                       231                                     IX_PE_Orders_OrderNum                   
TestSite                                dbo                                     IX_PE_Orders_UserName                   TestSite                                dbo                                     PE_Orders                               UserName                                1                                       231                                     IX_PE_Orders_UserName                   
TestSite                                dbo                                     IX_PE_Orders_ZipCode                    TestSite                                dbo                                     PE_Orders                               ZipCode                                 1                                       231                                     IX_PE_Orders_ZipCode                    
TestSite                                dbo                                     PK_PE_Orders_OrderID                    TestSite                                dbo                                     PE_Orders                               OrderID                                 1                                       56                                      PK_PE_Orders_OrderID                    
TestSite                                dbo                                     PK_PE_OutOfStockLog_ID                  TestSite                                dbo                                     PE_OutOfStockLog                        ID                                      1                                       56                                      PK_PE_OutOfStockLog_ID                  
TestSite                                dbo                                     PK_PE_Package_PackageID                 TestSite                                dbo                                     PE_Package                              PackageID                               1                                       56                                      PK_PE_Package_PackageID                 
TestSite                                dbo                                     IX_PE_PaymentLog_MoneyPay               TestSite                                dbo                                     PE_PaymentLog                           MoneyPay                                1                                       60                                      IX_PE_PaymentLog_MoneyPay               
TestSite                                dbo                                     IX_PE_PaymentLog_OrderID                TestSite                                dbo                                     PE_PaymentLog                           OrderID                                 1                                       56                                      IX_PE_PaymentLog_OrderID                
TestSite                                dbo                                     IX_PE_PaymentLog_PaymentNum             TestSite                                dbo                                     PE_PaymentLog                           PaymentNum                              1                                       231                                     IX_PE_PaymentLog_PaymentNum             
TestSite                                dbo                                     IX_PE_PaymentLog_PlatformID             TestSite                                dbo                                     PE_PaymentLog                           PlatformID                              1                                       56                                      IX_PE_PaymentLog_PlatformID             
